Court,Year,Metric,Value,Unit
ECCE,2024,Enrolment,15768,
Primary,2024,Enrolment,56104,
Secondary,2024,Enrolment,24825,
Senior Secondary,2024,Enrolment,7846,
Total,2024,Enrolment,104543,
ECCE,2024,Schools,721,
Primary,2024,Schools,461,
Secondary,2024,Schools,146,
Total,2024,Schools,1328,
ECCE,2024,Teachers,1085,
Primary,2024,Teachers,1966,
Secondary,2024,Teachers,1093,
Total,2024,Teachers,4144,
ECCE,2024,GER,57.0,%
ECCE,2024,GPI,1.04,
Primary,2024,GER,110.8,%
Primary,2024,GPI,0.98,
Secondary,2024,GER,64.0,%
Secondary,2024,GPI,1.16,
ECCE,2024,NER,38.8,%
ECCE,2024,NER_GPI,1.07,
Primary,2024,NER,85.9,%
Primary,2024,NER_GPI,1.03,
Secondary,2024,NER,57.4,%
Secondary,2024,NER_GPI,1.17,
Primary,2024,Teachers_Male,459,
Secondary,2024,Teachers_Male,141,
Secondary,2024,Teachers_Female,622,
